-39.37790956	-38.34346294	-37.3808143	-36.57482536	-35.713242	-35.21354927	-34.65505814	-33.95434164	-33.53720723	-32.95400205	-32.32761254	-31.80309991	-31.3338855	-30.73104747	-30.19997415	-29.55463481
-40.38007717	-39.60518873	-38.66539297	-37.8342621	-37.19070773	-36.43075149	-35.84117243	-35.40644715	-34.77708665	-34.25569448	-33.61125598	-33.16666085	-32.61191262	-32.07134889	-31.34976682	-30.85394942
-40.06272523	-39.62960583	-39.3688559	-38.55540887	-37.80251776	-37.11314697	-36.55601991	-35.99237184	-35.37965583	-34.80136664	-34.30521757	-33.750722	-33.28549976	-32.60249584	-32.12268633	-31.58852349
-39.7155804	-38.89536731	-38.01918293	-37.12307877	-36.39277823	-35.73662022	-35.3099398	-34.73995044	-33.97732016	-33.5857549	-32.93724503	-32.41422162	-31.859089	-31.37061733	-30.76868349	-30.30368357
-39.09064937	-38.73008155	-38.32958677	-37.29192741	-36.81472189	-36.14044392	-35.54322929	-34.95851121	-34.46740654	-33.8859978	-33.36201264	-32.87048402	-32.37548221	-31.83539252	-31.13541476	-30.79579198
															
nan	-44.38550733	-44.54590015	-43.56247075	-42.47845095	-41.52023996	-40.72938275	-39.85618037	-39.19764784	-38.62229171	-38.10665491	-37.4776994	-36.78111189	-36.36242522	-35.77917566	-35.2807702
nan	-44.8768021	-43.62892576	-44.72989484	-43.58442595	-42.35802449	-41.68226656	-40.91925584	-40.35634009	-39.42913228	-38.96290155	-38.42646701	-37.75894747	-37.35723093	-36.79346815	-36.18644357
-45.33224849	-45.50176803	-44.789703	-45.28477672	-44.17201003	-43.0420175	-42.32897467	-41.41311399	-40.89011532	-40.20500986	-39.54972262	-39.05406737	-38.48449539	-37.8475373	-37.49953912	-37.0198173
nan	-44.23191891	-43.42683384	-43.5652645	-42.39730287	-41.72884586	-40.63860658	-40.02486219	-39.46461109	-38.73131605	-38.18924672	-37.508462	-37.00503407	-36.42182573	-35.74320315	-35.30705982
nan	-44.53274572	-44.17815477	-44.41093091	-43.27928704	-42.12652569	-41.25177538	-40.2920785	-39.73269818	-39.07637026	-38.27349236	-37.68198533	-37.19696945	-36.60085396	-35.98695966	-35.55738791
															
nan	nan	nan	nan	nan	-48.65294301	-47.02870114	-48.29395181	-47.00943289	-46.05138139	-45.24846615	-44.26176411	-43.61200676	-43.16695645	-42.37327606	-41.84420205
nan	nan	nan	nan	nan	-49.18951383	-47.91821556	-48.99646289	-48.71111019	-47.58507639	-46.42473812	-45.60609221	-44.66025438	-44.20688784	-43.55814219	-42.95628163
nan	nan	nan	nan	-49.639211	-49.45182728	-48.30127935	-49.64314788	-48.78987225	-47.76884277	-46.88494745	-46.28113884	-45.76684862	-44.54725579	-43.44795834	-43.39646861
