-40.52210659	-40.1111673	-39.15297179	-38.66756558	-38.11517971	-37.49110558	-36.942805	-36.4340293	-36.21057344	-35.60631531	-35.13845634	-34.97136644	-34.43091752	-33.9755136	-33.14981181	-32.78269974
-40.29631321	-39.89222183	-38.63108375	-38.20356688	-37.75141989	-37.17007364	-36.97093359	-36.35010682	-35.91659782	-35.57603248	-35.06041011	-34.47826843	-34.07484632	-33.46105155	-32.86854443	-32.39984478
-39.30351899	-38.92930092	-38.42559077	-38.05484143	-37.6673309	-37.49951596	-36.75171114	-36.25877416	-35.81524053	-35.42618449	-34.94488089	-34.7329903	-34.22888424	-33.70703723	-33.11794574	-32.52559294
-40.51796586	-39.65735782	-39.15107354	-38.53894456	-38.03791804	-37.60874807	-37.00433386	-36.47016709	-36.02737927	-35.69124319	-35.24885538	-34.75642081	-34.33491948	-33.87239333	-33.25434059	-32.72222878
-40.00957133	-39.53454231	-39.14100081	-38.68087806	-38.12316532	-37.95830886	-37.42294879	-37.15543578	-36.45815924	-35.92293199	-35.81829406	-35.31249658	-34.92048959	-34.50846428	-33.85063387	-33.33873827
															
-45.2462053	-45.23378115	-45.69043942	-44.40939108	-43.55549028	-42.86811679	-42.1173755	-41.59820151	-40.97603422	-40.38777785	-39.90319078	-39.469463	-39.27957385	-38.95706411	-38.3457863	-37.97813674
-46.22571091	-45.50035601	-44.68369138	-43.92818664	-43.2773246	-42.46424998	-41.97990223	-41.45851373	-41.03906459	-40.76150573	-40.12246846	-39.64935394	-39.33929254	-38.85805297	-38.34378967	-37.78942387
-45.53440746	-44.77778067	-43.95676295	-43.09029602	-42.48757837	-42.73830838	-42.37477833	-41.84236868	-41.24200437	-40.53200315	-40.03775962	-40.1208099	-39.3861091	-38.96462888	-38.35102253	-38.08529271
-46.44265342	-45.06458876	-46.29381744	-45.12849703	-44.3783959	-43.7016627	-42.81191139	-42.19935994	-41.68819258	-41.18275844	-40.73684471	-40.35563204	-39.97398672	-39.55658885	-38.73756464	-38.31878688
-46.22972261	-45.36123455	-44.70713267	-43.91792486	-43.4900543	-42.73852009	-42.41209347	-42.02187609	-41.469237	-41.2532741	-40.54327566	-40.25837458	-39.93643104	-39.52655254	-39.03483417	-38.8830532
															
nan	nan	nan	nan	nan	-49.49884308	-49.37505898	-48.48098878	-47.55398768	-46.83275813	-45.88501842	-45.67510729	-45.29465951	-44.99697271	-44.2317932	-43.59035544
nan	nan	nan	nan	-50.65984728	-50.21948235	-49.34619025	-48.45027782	-47.65677993	-46.95746879	-46.36929768	-45.53142744	-45.32351497	-45.0101987	-44.50429571	-44.08656461
nan	nan	nan	nan	nan	-49.76028611	-49.19547792	-48.38223207	-47.54831363	-47.04926407	-46.52689215	-46.05659121	-45.53142853	-45.00609343	-44.57106621	-44.16681786
nan	nan	nan	nan	-50.14585937	-50.21851724	-49.98489294	-49.37505898	-48.17384244	-47.87412757	-46.98419937	-46.50086533	-45.59155495	-45.21703669	-44.44874234	-44.18965661
nan	nan	nan	nan	-50.24610983	-49.77778917	-49.17093571	-48.47713493	-47.64617404	-46.91489175	-46.3140523	-45.93216529	-45.41287095	-44.99867525	-44.74172492	-44.27302361
															
nan	nan	nan	nan	nan	-51.94973547	-51.5029936	-51.66490319	-51.23528385	-50.25185315	-49.21986963	-48.796945	-48.11060981	-47.44027827	-46.92004859	-46.46856254
nan	nan	nan	nan	nan	-52.24821938	-51.35915459	-50.37388291	-49.61451965	-48.92440417	-48.34185634	-47.58461264	-47.16437683	-46.8623596	-46.29108913	-45.96533207
