Distance,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_fix_1,RSSI_fix_2,RSSI_fix_3,RSSI_fix_4,RSSI_fix_5,Mean_RSSI,Std_RSSI,Mean_RSSI_fix,Std_RSSI_fix
3,1.44,1.27,2.08,1.64,1.34,0.61,0.27,0.75,0.35,0.39,1.554,0.29104,0.474,0.178168
4,1.95,2.89,3.33,2.81,2.43,0.09,0.72,0.43,0.12,0.23,2.682,0.464517,0.318,0.233701
5,2.99,3.53,3.98,3.49,3.79,0.4,0.63,0.23,0.06,0.83,3.556,0.33464,0.43,0.274882
6,1.54,2.73,3.68,3.15,2.05,0.04,0.04,0.01,0.02,0.02,2.63,0.762548,0.026,0.012
7,3.15,2.14,2.01,1.69,0.92,0.01,0.03,0.13,0.82,0.03,1.982,0.721537,0.204,0.310844
8,4.33,3.48,4.16,3.87,4.47,0.21,0.0,0.1,0.01,0.0,4.062,0.353123,0.064,0.082122
