Distance,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_fix_1,RSSI_fix_2,RSSI_fix_3,RSSI_fix_4,RSSI_fix_5,Mean_RSSI,Std_RSSI,Mean_RSSI_fix,Std_RSSI_fix
3,0.87,1.63,1.19,1.25,1.06,0.03,0.7,0.31,0.41,0.27,1.2,0.251396,0.344,0.217403
4,1.72,1.61,0.96,1.58,1.24,0.01,0.02,0.02,0.09,0.07,1.422,0.281311,0.042,0.031875
5,2.16,1.95,2.23,2.11,2.0,0.15,0.05,0.01,0.04,0.04,2.09,0.102567,0.058,0.047917
6,2.98,3.12,3.01,1.97,1.65,0.39,0.38,0.36,0.12,0.01,2.546,0.611182,0.252,0.156895
7,2.07,2.46,2.76,2.8,2.33,0.04,0.04,0.1,0.08,0.12,2.484,0.272661,0.076,0.032
8,2.2,2.47,2.74,2.42,2.67,0.0,0.09,0.05,0.02,0.07,2.5,0.191729,0.046,0.032619
