Distance,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_fix_1,RSSI_fix_2,RSSI_fix_3,RSSI_fix_4,RSSI_fix_5,Mean_RSSI,Std_RSSI,Mean_RSSI_fix,Std_RSSI_fix
3,2.31,1.64,0.91,2.17,1.84,1.4,0.63,0.09,1.34,1.04,1.774,0.492528,0.9,0.488303
4,2.84,2.4,1.73,1.76,2.35,0.93,0.47,0.0,0.01,0.57,2.216,0.42079,0.396,0.35404
5,4.11,3.74,3.14,3.42,2.99,1.56,1.17,0.85,0.92,0.68,3.48,0.405906,1.036,0.305719
6,2.85,2.12,2.03,3.1,2.41,0.02,0.01,0.0,0.14,0.01,2.502,0.413734,0.036,0.052383
7,3.22,2.94,2.03,2.97,2.97,0.02,0.02,0.04,0.15,0.02,2.826,0.410687,0.05,0.050596
8,5.08,3.62,2.62,4.37,4.3,0.53,0.01,0.06,0.05,0.11,3.998,0.829708,0.152,0.191666
